# GENERATED by scripts/build_catalog.py - edit the script, not this file.
# release_date is the family's launch year (day/month are placeholders).
# launch_rrp is approximate and only feeds a sanity guardrail.
# The attributes that matter for pricing - build_class, supply_class,
# ram_upgradeable, storage_upgradeable - are set per family and are the ones
# worth correcting first if any look wrong for your stock.
model_id,brand,family,model_name,generation,release_date,launch_rrp,build_class,supply_class,chassis_material,ram_upgradeable,storage_upgradeable,durability_cert,panel_class,port_class,parts_availability,successor_model_id
hp-elitebook-840-g8,HP,EliteBook,EliteBook 840 G8,11th Gen,2021-01-01,1299,enterprise,lease_return_heavy,aluminium,1,1,MIL-STD-810,ips,thunderbolt,abundant,hp-elitebook-830-g8
hp-elitebook-830-g8,HP,EliteBook,EliteBook 830 G8,11th Gen,2021-01-01,1219,enterprise,lease_return_heavy,aluminium,1,1,MIL-STD-810,ips,thunderbolt,abundant,hp-elitebook-850-g8
hp-elitebook-850-g8,HP,EliteBook,EliteBook 850 G8,11th Gen,2021-01-01,1379,enterprise,lease_return_heavy,aluminium,1,1,MIL-STD-810,ips,thunderbolt,abundant,hp-elitebook-840-g9
hp-elitebook-840-g9,HP,EliteBook,EliteBook 840 G9,12th Gen,2022-01-01,1349,enterprise,lease_return_heavy,aluminium,1,1,MIL-STD-810,ips,thunderbolt,abundant,hp-elitebook-840-g10
hp-elitebook-840-g10,HP,EliteBook,EliteBook 840 G10,13th Gen,2023-01-01,1399,enterprise,lease_return_heavy,aluminium,1,1,MIL-STD-810,ips,thunderbolt,abundant,
hp-probook-440-g6,HP,ProBook,ProBook 440 G6,8th Gen,2019-01-01,749,enterprise,lease_return_heavy,abs,1,1,,ips,usb_c_data,abundant,hp-probook-440-g7
hp-probook-440-g7,HP,ProBook,ProBook 440 G7,10th Gen,2020-01-01,779,enterprise,lease_return_heavy,abs,1,1,,ips,usb_c_data,abundant,hp-probook-450-g7
hp-probook-450-g7,HP,ProBook,ProBook 450 G7,10th Gen,2020-01-01,799,enterprise,lease_return_heavy,abs,1,1,,ips,usb_c_data,abundant,hp-probook-440-g8
hp-probook-440-g8,HP,ProBook,ProBook 440 G8,11th Gen,2021-01-01,809,enterprise,lease_return_heavy,abs,1,1,,ips,usb_c_data,abundant,hp-probook-450-g8
hp-probook-450-g8,HP,ProBook,ProBook 450 G8,11th Gen,2021-01-01,829,enterprise,lease_return_heavy,abs,1,1,,ips,usb_c_data,abundant,hp-probook-440-g9
hp-probook-440-g9,HP,ProBook,ProBook 440 G9,12th Gen,2022-01-01,849,enterprise,lease_return_heavy,abs,1,1,,ips,usb_c_data,abundant,hp-probook-450-g9
hp-probook-450-g9,HP,ProBook,ProBook 450 G9,12th Gen,2022-01-01,869,enterprise,lease_return_heavy,abs,1,1,,ips,usb_c_data,abundant,
hp-zbook-firefly-14-g7,HP,ZBook,ZBook Firefly 14 G7,10th Gen,2020-01-01,1499,workstation,lease_return_heavy,aluminium,1,1,MIL-STD-810,ips,thunderbolt,moderate,hp-zbook-power-g7
hp-zbook-power-g7,HP,ZBook,ZBook Power G7,10th Gen,2020-01-01,1699,workstation,lease_return_heavy,aluminium,1,1,MIL-STD-810,ips,thunderbolt,moderate,hp-zbook-firefly-14-g8
hp-zbook-firefly-14-g8,HP,ZBook,ZBook Firefly 14 G8,11th Gen,2021-01-01,1549,workstation,lease_return_heavy,aluminium,1,1,MIL-STD-810,ips,thunderbolt,moderate,hp-zbook-studio-g8
hp-zbook-studio-g8,HP,ZBook,ZBook Studio G8,11th Gen,2021-01-01,2199,workstation,lease_return_heavy,aluminium,1,1,MIL-STD-810,ips,thunderbolt,moderate,
hp-spectre-x360-13,HP,Spectre,Spectre x360 13,11th Gen,2021-01-01,1299,premium_consumer,retail_only,aluminium,0,1,,oled,thunderbolt,scarce,hp-spectre-x360-14
hp-spectre-x360-14,HP,Spectre,Spectre x360 14,12th Gen,2022-01-01,1399,premium_consumer,retail_only,aluminium,0,1,,oled,thunderbolt,scarce,
hp-pavilion-15,HP,Pavilion,Pavilion 15,11th Gen,2021-01-01,599,budget_consumer,retail_only,abs,1,1,,ips,usb_c_data,moderate,hp-pavilion-14
hp-pavilion-14,HP,Pavilion,Pavilion 14,11th Gen,2021-01-01,549,budget_consumer,retail_only,abs,1,1,,ips,usb_c_data,moderate,
lenovo-thinkpad-x1c-g6,Lenovo,ThinkPad,ThinkPad X1 Carbon Gen 6,8th Gen,2018-01-01,1599,enterprise,lease_return_heavy,carbon_fibre,0,1,MIL-STD-810,ips,thunderbolt,abundant,lenovo-thinkpad-x1c-g7
lenovo-thinkpad-x1c-g7,Lenovo,ThinkPad,ThinkPad X1 Carbon Gen 7,8th Gen,2019-01-01,1649,enterprise,lease_return_heavy,carbon_fibre,0,1,MIL-STD-810,ips,thunderbolt,abundant,lenovo-thinkpad-x1c-g8
lenovo-thinkpad-x1c-g8,Lenovo,ThinkPad,ThinkPad X1 Carbon Gen 8,10th Gen,2020-01-01,1699,enterprise,lease_return_heavy,carbon_fibre,0,1,MIL-STD-810,ips,thunderbolt,abundant,lenovo-thinkpad-x1c-g9
lenovo-thinkpad-x1c-g9,Lenovo,ThinkPad,ThinkPad X1 Carbon Gen 9,11th Gen,2021-01-01,1729,enterprise,lease_return_heavy,carbon_fibre,0,1,MIL-STD-810,ips,thunderbolt,abundant,lenovo-thinkpad-x1y-g6
lenovo-thinkpad-x1y-g6,Lenovo,ThinkPad,ThinkPad X1 Yoga Gen 6,11th Gen,2021-01-01,1799,enterprise,lease_return_heavy,carbon_fibre,0,1,MIL-STD-810,ips,thunderbolt,abundant,lenovo-thinkpad-x1c-g10
lenovo-thinkpad-x1c-g10,Lenovo,ThinkPad,ThinkPad X1 Carbon Gen 10,12th Gen,2022-01-01,1799,enterprise,lease_return_heavy,carbon_fibre,0,1,MIL-STD-810,ips,thunderbolt,abundant,lenovo-thinkpad-x1c-g11
lenovo-thinkpad-x1c-g11,Lenovo,ThinkPad,ThinkPad X1 Carbon Gen 11,13th Gen,2023-01-01,1849,enterprise,lease_return_heavy,carbon_fibre,0,1,MIL-STD-810,ips,thunderbolt,abundant,
lenovo-thinkpad-t480,Lenovo,ThinkPad,ThinkPad T480,8th Gen,2018-01-01,1099,enterprise,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,abundant,lenovo-thinkpad-t490
lenovo-thinkpad-t490,Lenovo,ThinkPad,ThinkPad T490,8th Gen,2019-01-01,1149,enterprise,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,abundant,lenovo-thinkpad-t14-g1
lenovo-thinkpad-t14-g1,Lenovo,ThinkPad,ThinkPad T14 Gen 1,10th Gen,2020-01-01,1199,enterprise,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,abundant,lenovo-thinkpad-l14-g1
lenovo-thinkpad-l14-g1,Lenovo,ThinkPad,ThinkPad L14 Gen 1,10th Gen,2020-01-01,849,enterprise,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,abundant,lenovo-thinkpad-x13-g1
lenovo-thinkpad-x13-g1,Lenovo,ThinkPad,ThinkPad X13 Gen 1,10th Gen,2020-01-01,1099,enterprise,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,abundant,lenovo-thinkpad-t14-g2
lenovo-thinkpad-t14-g2,Lenovo,ThinkPad,ThinkPad T14 Gen 2,11th Gen,2021-01-01,1249,enterprise,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,abundant,lenovo-thinkpad-t15-g2
lenovo-thinkpad-t15-g2,Lenovo,ThinkPad,ThinkPad T15 Gen 2,11th Gen,2021-01-01,1299,enterprise,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,abundant,lenovo-thinkpad-l14-g2
lenovo-thinkpad-l14-g2,Lenovo,ThinkPad,ThinkPad L14 Gen 2,11th Gen,2021-01-01,879,enterprise,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,abundant,lenovo-thinkpad-l15-g2
lenovo-thinkpad-l15-g2,Lenovo,ThinkPad,ThinkPad L15 Gen 2,11th Gen,2021-01-01,899,enterprise,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,abundant,lenovo-thinkpad-e14-g2
lenovo-thinkpad-e14-g2,Lenovo,ThinkPad,ThinkPad E14 Gen 2,11th Gen,2021-01-01,749,enterprise,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,abundant,lenovo-thinkpad-e14-g3
lenovo-thinkpad-e14-g3,Lenovo,ThinkPad,ThinkPad E14 Gen 3,11th Gen,2021-01-01,769,enterprise,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,abundant,lenovo-thinkpad-x13-g2
lenovo-thinkpad-x13-g2,Lenovo,ThinkPad,ThinkPad X13 Gen 2,11th Gen,2021-01-01,1149,enterprise,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,abundant,lenovo-thinkpad-t14-g3
lenovo-thinkpad-t14-g3,Lenovo,ThinkPad,ThinkPad T14 Gen 3,12th Gen,2022-01-01,1299,enterprise,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,abundant,
lenovo-thinkpad-p14s-g2,Lenovo,ThinkPad,ThinkPad P14s Gen 2,11th Gen,2021-01-01,1499,workstation,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,moderate,lenovo-thinkpad-p15s-g2
lenovo-thinkpad-p15s-g2,Lenovo,ThinkPad,ThinkPad P15s Gen 2,11th Gen,2021-01-01,1549,workstation,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,moderate,lenovo-thinkpad-p1-g4
lenovo-thinkpad-p1-g4,Lenovo,ThinkPad,ThinkPad P1 Gen 4,11th Gen,2021-01-01,2299,workstation,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,moderate,
lenovo-thinkbook-14-g2,Lenovo,ThinkBook,ThinkBook 14 Gen 2,11th Gen,2021-01-01,749,premium_consumer,retail_only,aluminium,1,1,,ips,usb_c_data,moderate,lenovo-thinkbook-15-g2
lenovo-thinkbook-15-g2,Lenovo,ThinkBook,ThinkBook 15 Gen 2,11th Gen,2021-01-01,799,premium_consumer,retail_only,aluminium,1,1,,ips,usb_c_data,moderate,
lenovo-legion-5-15,Lenovo,Legion,Legion 5 15,2021,2021-01-01,1099,gaming,retail_only,abs,1,1,,ips,usb_c_data,moderate,lenovo-legion-5-pro-16
lenovo-legion-5-pro-16,Lenovo,Legion,Legion 5 Pro 16,2021,2021-01-01,1399,gaming,retail_only,abs,1,1,,ips,usb_c_data,moderate,lenovo-legion-7-16
lenovo-legion-7-16,Lenovo,Legion,Legion 7 16,2021,2021-01-01,1799,gaming,retail_only,abs,1,1,,ips,usb_c_data,moderate,
lenovo-ideapad-3-15,Lenovo,IdeaPad,IdeaPad 3 15,11th Gen,2021-01-01,449,budget_consumer,retail_only,abs,1,1,,ips,usb_c_data,moderate,lenovo-ideapad-5-14
lenovo-ideapad-5-14,Lenovo,IdeaPad,IdeaPad 5 14,11th Gen,2021-01-01,599,budget_consumer,retail_only,abs,1,1,,ips,usb_c_data,moderate,lenovo-yoga-slim-7
lenovo-yoga-slim-7,Lenovo,IdeaPad,Yoga Slim 7,11th Gen,2021-01-01,899,budget_consumer,retail_only,abs,1,1,,ips,usb_c_data,moderate,
apple-macbook-air-2019,Apple,MacBook Air,MacBook Air 2019,Intel,2019-01-01,1099,apple,retail_only,aluminium,0,0,,ips,thunderbolt,moderate,apple-macbook-air-2020-intel
apple-macbook-air-2020-intel,Apple,MacBook Air,MacBook Air 2020 Intel,Intel,2020-01-01,999,apple,retail_only,aluminium,0,0,,ips,thunderbolt,moderate,apple-macbook-air-m1
apple-macbook-air-m1,Apple,MacBook Air,MacBook Air M1,M1,2020-01-01,999,apple,retail_only,aluminium,0,0,,ips,thunderbolt,moderate,apple-macbook-air-m2
apple-macbook-air-m2,Apple,MacBook Air,MacBook Air M2,M2,2022-01-01,1249,apple,retail_only,aluminium,0,0,,ips,thunderbolt,moderate,apple-macbook-air-m3
apple-macbook-air-m3,Apple,MacBook Air,MacBook Air M3,M3,2024-01-01,1099,apple,retail_only,aluminium,0,0,,ips,thunderbolt,moderate,
apple-macbook-pro-13-2019,Apple,MacBook Pro,MacBook Pro 13 2019,Intel,2019-01-01,1299,apple,retail_only,aluminium,0,0,,uhd,thunderbolt,scarce,apple-macbook-pro-13-2020
apple-macbook-pro-13-2020,Apple,MacBook Pro,MacBook Pro 13 2020,Intel,2020-01-01,1299,apple,retail_only,aluminium,0,0,,uhd,thunderbolt,scarce,apple-macbook-pro-13-m1
apple-macbook-pro-13-m1,Apple,MacBook Pro,MacBook Pro 13 M1,M1,2020-01-01,1299,apple,retail_only,aluminium,0,0,,uhd,thunderbolt,scarce,apple-macbook-pro-14-m1p
apple-macbook-pro-14-m1p,Apple,MacBook Pro,MacBook Pro 14 M1 Pro,M1 Pro,2021-01-01,1899,apple,retail_only,aluminium,0,0,,uhd,thunderbolt,scarce,apple-macbook-pro-16-m1p
apple-macbook-pro-16-m1p,Apple,MacBook Pro,MacBook Pro 16 M1 Pro,M1 Pro,2021-01-01,2399,apple,retail_only,aluminium,0,0,,uhd,thunderbolt,scarce,apple-macbook-pro-13-m2
apple-macbook-pro-13-m2,Apple,MacBook Pro,MacBook Pro 13 M2,M2,2022-01-01,1349,apple,retail_only,aluminium,0,0,,uhd,thunderbolt,scarce,apple-macbook-pro-14-m2p
apple-macbook-pro-14-m2p,Apple,MacBook Pro,MacBook Pro 14 M2 Pro,M2 Pro,2023-01-01,1999,apple,retail_only,aluminium,0,0,,uhd,thunderbolt,scarce,
microsoft-surface-laptop-3,Microsoft,Surface,Surface Laptop 3,10th Gen,2019-01-01,999,premium_consumer,lease_return_heavy,magnesium_alloy,0,0,,ips,usb_c_data,scarce,microsoft-surface-pro-7
microsoft-surface-pro-7,Microsoft,Surface,Surface Pro 7,10th Gen,2019-01-01,899,premium_consumer,lease_return_heavy,magnesium_alloy,0,0,,ips,usb_c_data,scarce,microsoft-surface-laptop-4
microsoft-surface-laptop-4,Microsoft,Surface,Surface Laptop 4,11th Gen,2021-01-01,1049,premium_consumer,lease_return_heavy,magnesium_alloy,0,0,,ips,usb_c_data,scarce,microsoft-surface-pro-8
microsoft-surface-pro-8,Microsoft,Surface,Surface Pro 8,11th Gen,2021-01-01,1099,premium_consumer,lease_return_heavy,magnesium_alloy,0,0,,ips,usb_c_data,scarce,microsoft-surface-laptop-5
microsoft-surface-laptop-5,Microsoft,Surface,Surface Laptop 5,12th Gen,2022-01-01,1099,premium_consumer,lease_return_heavy,magnesium_alloy,0,0,,ips,usb_c_data,scarce,
asus-zenbook-14,Asus,ZenBook,ZenBook 14,11th Gen,2021-01-01,899,premium_consumer,retail_only,aluminium,0,1,,oled,thunderbolt,scarce,asus-zenbook-13-oled
asus-zenbook-13-oled,Asus,ZenBook,ZenBook 13 OLED,11th Gen,2021-01-01,999,premium_consumer,retail_only,aluminium,0,1,,oled,thunderbolt,scarce,
asus-rog-zephyrus-g14,Asus,ROG,ROG Zephyrus G14,2021,2021-01-01,1499,gaming,retail_only,aluminium,1,1,,ips,usb_c_data,scarce,asus-tuf-gaming-a15
asus-tuf-gaming-a15,Asus,ROG,TUF Gaming A15,2021,2021-01-01,999,gaming,retail_only,aluminium,1,1,,ips,usb_c_data,scarce,
acer-aspire-5,Acer,Aspire,Aspire 5,11th Gen,2021-01-01,499,budget_consumer,retail_only,abs,1,1,,ips,usb_c_data,moderate,acer-swift-3
acer-swift-3,Acer,Aspire,Swift 3,11th Gen,2021-01-01,649,budget_consumer,retail_only,abs,1,1,,ips,usb_c_data,moderate,acer-nitro-5
acer-nitro-5,Acer,Aspire,Nitro 5,2021,2021-01-01,899,budget_consumer,retail_only,abs,1,1,,ips,usb_c_data,moderate,
