Item Title,Sold For,Postage,Date Sold,Qty,Condition
Dell Latitude 5420 i5-1145G7 16GB 512GB NVMe 14in FHD,331.61,0.00,2026-04-03,1,Good
Lenovo ThinkPad X1 Carbon Gen 9 i7-1185G7 16GB 1TB,693.21,0.00,2026-04-05,1,Very Good
Dell Latitude 5420 i5-1135G7 16GB 512GB,347.89,0.00,2026-04-06,1,Very Good
Lenovo ThinkPad T14 Gen 2 i5-1135G7 16GB 512GB,242.82,0.00,2026-04-08,1,Acceptable
HP EliteBook 840 G7 i5-10310U 8GB 256GB,262.72,0.00,2026-04-09,1,Good
Apple MacBook Air M1 16GB 512GB,913.47,0.00,2026-04-10,1,Very Good
Apple MacBook Air M1 16GB 512GB,602.66,0.00,2026-04-12,1,Acceptable
Lenovo ThinkPad X1 Carbon Gen 9 i7-1165G7 16GB 512GB,638.17,0.00,2026-04-12,1,Good
Dell Latitude 7420 i7-1185G7 16GB 512GB,447.81,0.00,2026-04-13,1,Good
Dell Latitude 5420 i5-1145G7 8GB 256GB,275.95,0.00,2026-04-13,1,Good
Dell Latitude 5420 i5-1145G7 8GB 256GB,249.94,0.00,2026-04-13,1,Good
Lenovo ThinkPad T14 Gen 2 i5-1135G7 16GB 512GB,371.03,0.00,2026-04-16,1,New (other)
Dell Latitude 5420 i5-1145G7 16GB 512GB NVMe 14in FHD,317.83,0.00,2026-04-18,1,New (other)
Dell Latitude 5420 i5-1145G7 32GB 1TB,314.89,0.00,2026-04-20,1,Acceptable
Apple MacBook Air M1 16GB 512GB,682.38,0.00,2026-04-20,1,Acceptable
Lenovo ThinkPad X1 Carbon Gen 9 i7-1165G7 16GB 512GB,557.59,0.00,2026-04-21,1,Good
HP EliteBook 840 G7 i5-10310U 16GB 256GB,281.98,0.00,2026-04-23,1,Very Good
Lenovo ThinkPad X1 Carbon Gen 9 i7-1165G7 16GB 512GB,363.59,0.00,2026-04-23,1,Acceptable
Dell Latitude 5420 i5-1145G7 16GB 512GB NVMe 14in FHD,361.84,0.00,2026-04-23,1,Very Good
Dell Latitude 7420 i7-1185G7 16GB 512GB,438.51,0.00,2026-04-23,1,Good
Lenovo ThinkPad X1 Carbon Gen 9 i7-1165G7 16GB 512GB,581.34,0.00,2026-04-24,1,Acceptable
Lenovo ThinkPad X1 Carbon Gen 9 i7-1165G7 16GB 512GB,574.87,0.00,2026-04-26,1,Very Good
HP EliteBook 840 G7 i5-10310U 8GB 256GB,207.09,0.00,2026-04-26,1,Acceptable
Dell Latitude 5420 i5-1145G7 16GB 512GB NVMe 14in FHD,375.62,0.00,2026-04-26,1,Very Good
Dell Latitude 5420 i5-1145G7 16GB 512GB NVMe 14in FHD,262.12,0.00,2026-04-26,1,Acceptable
HP EliteBook 840 G7 i5-10310U 8GB 256GB,266.69,0.00,2026-04-27,1,Good
Dell Latitude 5420 i5-1145G7 32GB 1TB,358.78,0.00,2026-04-28,1,Acceptable
Dell Inspiron 3511 i3-1115G4 8GB 256GB 15.6in,147.34,0.00,2026-05-01,1,Good
Dell Latitude 7420 i7-1185G7 16GB 512GB,477.93,0.00,2026-05-02,1,Good
Dell Latitude 7420 i7-1185G7 16GB 512GB,469.99,0.00,2026-05-05,1,Very Good
Dell XPS 13 9310 i7-1185G7 16GB 1TB 4K Touch,604.45,0.00,2026-05-06,1,Good
Dell Latitude 5420 i5-1145G7 8GB 256GB,262.86,0.00,2026-05-06,1,Good
Lenovo ThinkPad X1 Carbon Gen 9 i7-1185G7 16GB 1TB,762.04,0.00,2026-05-09,1,Good
Lenovo ThinkPad X1 Carbon Gen 9 i7-1165G7 16GB 512GB,593.49,0.00,2026-05-09,1,Good
Apple MacBook Air M1 16GB 512GB,602.39,0.00,2026-05-10,1,Acceptable
Lenovo ThinkPad T14 Gen 2 i5-1135G7 16GB 512GB,330.74,0.00,2026-05-11,1,Good
Lenovo Legion 5 15 i7-11800H 16GB 512GB RTX 3060,655.16,0.00,2026-05-12,1,Good
Lenovo Legion 5 15 i7-11800H 16GB 512GB RTX 3060,752.90,0.00,2026-05-13,1,Very Good
Lenovo Legion 5 15 i7-11800H 16GB 512GB RTX 3060,792.07,0.00,2026-05-13,1,Good
Apple MacBook Air M1 8GB 256GB,592.33,0.00,2026-05-13,1,Acceptable
HP EliteBook 840 G7 i5-10310U 16GB 256GB,286.37,0.00,2026-05-16,1,Very Good
Lenovo ThinkPad X1 Carbon Gen 9 i7-1165G7 16GB 512GB,587.55,0.00,2026-05-17,1,Good
Lenovo ThinkPad T14 Gen 2 i5-1135G7 16GB 512GB,206.78,0.00,2026-05-17,1,Acceptable
Dell Inspiron 3511 i3-1115G4 8GB 256GB 15.6in,129.24,0.00,2026-05-18,1,Good
HP EliteBook 840 G7 i5-10310U 8GB 256GB,255.21,0.00,2026-05-22,1,Good
Dell Latitude 7420 i7-1185G7 16GB 512GB,360.16,0.00,2026-05-22,1,Acceptable
Apple MacBook Air M1 8GB 256GB,648.93,0.00,2026-05-23,1,Good
HP EliteBook 840 G7 i5-10310U 8GB 256GB,255.11,0.00,2026-05-24,1,Very Good
Lenovo ThinkPad X1 Carbon Gen 9 i7-1185G7 16GB 1TB,845.14,0.00,2026-05-24,1,New (other)
Apple MacBook Air M1 16GB 512GB,699.21,0.00,2026-05-25,1,Acceptable
Lenovo Legion 5 15 i7-11800H 16GB 512GB RTX 3060,713.33,0.00,2026-05-27,1,Good
HP EliteBook 840 G7 i7-1165G7 16GB 512GB,321.55,0.00,2026-05-29,1,Good
HP EliteBook 840 G7 i5-10310U 8GB 256GB,161.91,0.00,2026-05-29,1,Acceptable
Dell XPS 13 9310 i7-1185G7 16GB 1TB 4K Touch,504.16,0.00,2026-05-30,1,Acceptable
HP EliteBook 840 G7 i5-10310U 16GB 256GB,253.23,0.00,2026-06-01,1,Good
Lenovo ThinkPad X1 Carbon Gen 9 i7-1185G7 16GB 1TB,513.39,0.00,2026-06-01,1,Acceptable
HP EliteBook 840 G7 i5-10310U 16GB 256GB,281.19,0.00,2026-06-02,1,Good
Lenovo ThinkPad T14 Gen 2 i5-1135G7 16GB 512GB,317.10,0.00,2026-06-02,1,Good
Dell Inspiron 3511 i3-1115G4 8GB 256GB 15.6in,140.62,0.00,2026-06-03,1,Good
Dell Latitude 5420 i5-1145G7 16GB 512GB NVMe 14in FHD,321.71,0.00,2026-06-04,1,Very Good
Dell Latitude 7420 i5-1145G7 16GB 512GB,384.37,0.00,2026-06-04,1,Good
Dell Latitude 5420 i5-1135G7 16GB 512GB,267.17,0.00,2026-06-06,1,Good
Dell Latitude 5420 i5-1145G7 32GB 1TB,360.53,0.00,2026-06-06,1,New (other)
Dell Latitude 7420 i5-1145G7 16GB 512GB,378.42,0.00,2026-06-07,1,Very Good
Dell XPS 13 9310 i7-1185G7 16GB 1TB 4K Touch,472.94,0.00,2026-06-08,1,Acceptable
Lenovo ThinkPad T14 Gen 2 i5-1135G7 16GB 512GB,228.70,0.00,2026-06-08,1,Acceptable
Lenovo ThinkPad T14 Gen 2 i5-1135G7 16GB 512GB,317.03,0.00,2026-06-09,1,Good
HP EliteBook 840 G7 i5-10310U 8GB 256GB,269.61,0.00,2026-06-10,1,Good
Apple MacBook Air M1 16GB 512GB,839.13,0.00,2026-06-10,1,Good
Dell XPS 13 9310 i7-1185G7 16GB 1TB 4K Touch,665.17,0.00,2026-06-11,1,Good
Lenovo ThinkPad X1 Carbon Gen 9 i7-1185G7 16GB 1TB,692.29,0.00,2026-06-11,1,Very Good
Dell XPS 13 9310 i7-1185G7 16GB 1TB 4K Touch,586.24,0.00,2026-06-14,1,Very Good
Lenovo Legion 5 15 i7-11800H 16GB 512GB RTX 3060,490.35,0.00,2026-06-14,1,Acceptable
Dell XPS 13 9310 i7-1185G7 16GB 1TB 4K Touch,563.09,0.00,2026-06-14,1,Good
Dell Latitude 5420 i5-1145G7 32GB 1TB,298.34,0.00,2026-06-15,1,Acceptable
Dell XPS 13 9310 i7-1185G7 16GB 1TB 4K Touch,591.76,0.00,2026-06-15,1,Good
Dell Latitude 5420 i5-1135G7 16GB 512GB,184.61,0.00,2026-06-16,1,Acceptable
Dell Latitude 5420 i5-1145G7 16GB 512GB NVMe 14in FHD,273.71,0.00,2026-06-16,1,Good
Dell Latitude 5420 i5-1145G7 16GB 512GB NVMe 14in FHD,305.23,0.00,2026-06-18,1,Good
Lenovo ThinkPad X1 Carbon Gen 9 i7-1185G7 16GB 1TB,635.31,0.00,2026-06-19,1,Good
Dell Latitude 5420 i5-1145G7 8GB 256GB,293.54,0.00,2026-06-19,1,Very Good
Dell XPS 13 9310 i7-1185G7 16GB 1TB 4K Touch,448.33,0.00,2026-06-20,1,Acceptable
Dell XPS 13 9310 i7-1185G7 16GB 1TB 4K Touch,651.29,0.00,2026-06-21,1,Good
Dell Latitude 7420 i7-1185G7 16GB 512GB,499.02,0.00,2026-06-21,1,Very Good
Lenovo ThinkPad X1 Carbon Gen 9 i7-1165G7 16GB 512GB,655.93,0.00,2026-06-22,1,Very Good
Dell Latitude 5420 i5-1135G7 16GB 512GB,301.78,0.00,2026-06-22,1,Good
Dell XPS 13 9310 i7-1185G7 16GB 1TB 4K Touch,501.53,0.00,2026-06-24,1,Acceptable
Lenovo ThinkPad X1 Carbon Gen 9 i7-1165G7 16GB 512GB,488.36,0.00,2026-06-24,1,Acceptable
Dell Latitude 7420 i7-1185G7 16GB 512GB,277.92,0.00,2026-06-25,1,Acceptable
Dell Latitude 5420 i5-1145G7 32GB 1TB,365.54,0.00,2026-06-27,1,Good
Dell Latitude 5420 i5-1135G7 16GB 512GB,264.82,0.00,2026-06-30,1,Good
HP EliteBook 840 G7 i5-10310U 8GB 256GB,164.89,0.00,2026-07-01,1,Acceptable
Apple MacBook Air M1 8GB 256GB,842.72,0.00,2026-07-01,1,New (other)
Dell Latitude 5420 i5-1145G7 16GB 512GB NVMe 14in FHD,296.98,0.00,2026-07-03,1,New (other)
HP EliteBook 840 G7 i5-10310U 16GB 256GB,229.99,0.00,2026-07-04,1,Acceptable
Lenovo ThinkPad X1 Carbon Gen 9 i7-1165G7 16GB 512GB,452.10,0.00,2026-07-05,1,Acceptable
Dell Latitude 5420 i5-1145G7 16GB 512GB NVMe 14in FHD,256.42,0.00,2026-07-08,1,Acceptable
Apple MacBook Air M1 8GB 256GB,657.72,0.00,2026-07-08,1,Good
Dell XPS 13 9310 i7-1185G7 16GB 1TB 4K Touch,648.03,0.00,2026-07-09,1,Very Good
HP EliteBook 840 G7 i7-1165G7 16GB 512GB,306.68,0.00,2026-07-10,1,Good
Dell Latitude 5420 i5-1145G7 32GB 1TB,331.14,0.00,2026-07-11,1,Very Good
HP EliteBook 840 G7 i5-10310U 16GB 256GB,250.77,0.00,2026-07-13,1,Good
Dell Latitude 5420 i5-1145G7 8GB 256GB,253.65,0.00,2026-07-13,1,Acceptable
Dell Latitude 5420 i5-1145G7 8GB 256GB,289.79,0.00,2026-07-13,1,Very Good
Apple MacBook Air M1 8GB 256GB,531.22,0.00,2026-07-15,1,Acceptable
Dell Latitude 5420 i5-1145G7 32GB 1TB,321.56,0.00,2026-07-15,1,Good
Lenovo ThinkPad X1 Carbon Gen 9 i7-1165G7 16GB 512GB,620.57,0.00,2026-07-15,1,New (other)
Apple MacBook Air M1 16GB 512GB,884.83,0.00,2026-07-16,1,New (other)
Dell Inspiron 3511 i3-1115G4 8GB 256GB 15.6in,138.15,0.00,2026-07-16,1,Very Good
Lenovo ThinkPad X1 Carbon Gen 9 i7-1185G7 16GB 1TB,733.53,0.00,2026-07-16,1,New (other)
Dell Latitude 5420 i5-1145G7 16GB 512GB NVMe 14in FHD,268.62,0.00,2026-07-17,1,Good
Dell Latitude 5420 i5-1135G7 16GB 512GB,266.72,0.00,2026-07-17,1,Good
Lenovo Legion 5 15 i7-11800H 16GB 512GB RTX 3060,731.53,0.00,2026-07-17,1,Good
Apple MacBook Air M1 8GB 256GB,539.06,0.00,2026-07-18,1,Acceptable
Apple MacBook Air M1 8GB 256GB,715.67,0.00,2026-07-19,1,Very Good
Dell XPS 13 9310 i7-1185G7 16GB 1TB 4K Touch,624.07,0.00,2026-07-19,1,Good
Lenovo ThinkPad X1 Carbon Gen 9 i7-1165G7 16GB 512GB,611.66,0.00,2026-07-20,1,Good
Dell Latitude 5420 i5-1135G7 16GB 512GB,221.71,0.00,2026-07-20,1,Acceptable
Lenovo ThinkPad T14 Gen 2 i5-1135G7 16GB 512GB,286.74,0.00,2026-07-21,1,Good
Dell Latitude 5420 i5-1145G7 32GB 1TB,302.44,0.00,2026-07-21,1,Acceptable
Dell Latitude 5420 i5-1145G7 8GB 256GB,318.82,0.00,2026-07-21,1,New (other)
Dell Latitude 7420 i5-1145G7 16GB 512GB,422.89,0.00,2026-07-23,1,Very Good
Dell XPS 13 9310 i7-1185G7 16GB 1TB 4K Touch,493.29,0.00,2026-07-23,1,Acceptable
Dell Latitude 5420 i5-1145G7 32GB 1TB,388.75,0.00,2026-07-23,1,New (other)
HP EliteBook 840 G7 i7-1165G7 16GB 512GB,335.09,0.00,2026-07-24,1,Good
Dell Latitude 5420 i5-1145G7 16GB 512GB NVMe 14in FHD,235.15,0.00,2026-07-24,1,Acceptable
Dell Latitude 7420 i7-1185G7 16GB 512GB,360.53,0.00,2026-07-25,1,Acceptable
Dell Latitude 7420 i5-1145G7 16GB 512GB,337.83,0.00,2026-07-25,1,Acceptable
Dell Latitude 7420 i5-1145G7 16GB 512GB,390.79,0.00,2026-07-26,1,Very Good
Lenovo Legion 5 15 i7-11800H 16GB 512GB RTX 3060,621.29,0.00,2026-07-27,1,Acceptable
Lenovo ThinkPad X1 Carbon Gen 9 i7-1185G7 16GB 1TB,645.98,0.00,2026-07-28,1,Good
Lenovo Legion 5 15 i7-11800H 16GB 512GB RTX 3060,644.80,0.00,2026-07-29,1,Good
HP EliteBook 840 G7 i5-10310U 16GB 256GB,263.12,0.00,2026-07-30,1,Good
Lenovo Legion 5 15 i7-11800H 16GB 512GB RTX 3060,578.03,0.00,2026-08-01,1,Good
Lenovo Legion 5 15 i7-11800H 16GB 512GB RTX 3060,607.04,0.00,2026-08-01,1,Good
Dell Inspiron 3511 i3-1115G4 8GB 256GB 15.6in,139.44,0.00,2026-08-02,1,Good
Dell Latitude 5420 i5-1145G7 32GB 1TB,338.86,0.00,2026-08-05,1,Good
Dell Latitude 7420 i5-1145G7 16GB 512GB,381.05,0.00,2026-08-07,1,Very Good
Dell XPS 13 9310 i7-1185G7 16GB 1TB 4K Touch,540.51,0.00,2026-08-08,1,Good
Dell Latitude 5420 i5-1145G7 32GB 1TB,333.09,0.00,2026-08-08,1,Good
Dell Latitude 5420 i5-1145G7 16GB 512GB NVMe 14in FHD,292.83,0.00,2026-08-08,1,Very Good
Dell Latitude 5420 i5-1145G7 32GB 1TB,294.16,0.00,2026-08-12,1,Acceptable
Dell Inspiron 3511 i3-1115G4 8GB 256GB 15.6in,122.23,0.00,2026-08-12,1,Acceptable
HP EliteBook 840 G7 i5-10310U 16GB 256GB,195.20,0.00,2026-08-12,1,Acceptable
Dell XPS 13 9310 i7-1185G7 16GB 1TB 4K Touch,551.83,0.00,2026-08-13,1,Good
Dell Latitude 7420 i5-1145G7 16GB 512GB,317.31,0.00,2026-08-15,1,Good
